"sp","par","mean","median","lcl","ucl"
"Northern Buller's mollymawk","adult-survival",95.9582891475358,96.7215734041921,88.4743192681316,99.11441289964
"Antipodean wandering albatross","adult-survival",92.0836410062443,92.802556200463,83.4425743567599,96.9018426499519
"Campbell Island mollymawk","adult-survival",95.0223393129597,95.1220205134321,92.585971364588,97.0194030406822
"Chatham Island mollymawk","adult-survival",87.6670298631246,87.8738566332734,80.6665944751004,93.7018815305978
"Southern royal albatross","adult-survival",95.8034323220389,96.0270585254313,92.4514450703554,97.9425055417497
"Gibson's wandering albatross","adult-survival",90.226500301259,90.7176001951511,82.3601562042654,95.3820808019077
"Northern royal albatross","adult-survival",95.5516187149307,95.7044531383932,92.6265835220569,97.6027731790657
"Grey-headed mollymawk","adult-survival",95.1104971294452,95.2769259435511,92.1107224382797,97.3650907238831
"Light-mantled sooty albatross","adult-survival",96.0055902761928,96.7569663287345,88.7825664780446,99.123939469894
"Southern Buller's mollymawk","adult-survival",93.5422166554292,93.8406203617433,88.6481776924577,96.9479499152396
"New Zealand white-capped mollymawk","adult-survival",96.7239342079132,96.9614172643373,93.5890319420673,98.5747648226712
"Salvin's mollymawk","adult-survival",95.6455484506158,95.8238479981812,92.5143746825519,97.7566272975964
"Campbell Island mollymawk","breeding-pairs",23572.7364833873,23048.662359461,15167.9749965738,35445.7326331177
"Salvin's mollymawk","breeding-pairs",37474.8749003335,37006.310514043,26341.2479205564,50982.2802736812
"Grey-headed mollymawk","breeding-pairs",7713.05058925397,7558.05399909648,5011.44053506332,11444.8411021064
"Northern Buller's mollymawk","breeding-pairs",17910.9393392598,17383.662694529,10798.3015532643,28539.9910474604
"Southern Buller's mollymawk","breeding-pairs",13763.3619720469,13576.9809191264,9966.43052993648,18662.6945279119
"Southern royal albatross","breeding-pairs",5292.44731920286,5183.63036117905,3607.26743062117,7515.50628356667
"Antipodean wandering albatross","breeding-pairs",4174.22289796603,4023.22463085315,2466.75507860976,6819.10042172621
"New Zealand white-capped mollymawk","breeding-pairs",95235.8357867325,94007.6730012097,66025.0343834667,130701.928983076
"Chatham Island mollymawk","breeding-pairs",4851.87868294331,4795.46614813032,3453.28113762111,6654.7768148591
"Gibson's wandering albatross","breeding-pairs",4387.02838311831,4272.52970719635,2694.64915053898,6755.9585472709
"Light-mantled sooty albatross","breeding-pairs",1285.61971023359,1218.90587380373,658.957424488623,2238.84803139094
"Northern royal albatross","breeding-pairs",5590.19581872562,5498.93398385276,3921.56803517182,7795.92753461872
"Southern royal albatross","breeding-probability",60.1830447311291,60.4841499135568,43.191180400234,75.3308391419303
"Grey-headed mollymawk","breeding-probability",60.2076605967509,60.5175571974697,43.133264078621,75.3630399019689
"Chatham Island mollymawk","breeding-probability",76.49410034628,76.9594663128603,61.5329076391593,89.4294345310909
"Light-mantled sooty albatross","breeding-probability",60.2044674920373,60.4722112201045,43.1724033492237,75.3180090604649
"New Zealand white-capped mollymawk","breeding-probability",69.4503736630714,69.7172144093116,57.8925778948192,79.4079937882881
"Southern Buller's mollymawk","breeding-probability",85.4463509374141,85.7117116813123,78.3882961433159,90.8828074834787
"Campbell Island mollymawk","breeding-probability",88.5986784124017,89.0155477361676,81.1003566285396,93.8278361716773
"Northern royal albatross","breeding-probability",57.6956468663759,57.8476108147351,44.8482322912326,69.9429625830714
"Northern Buller's mollymawk","breeding-probability",87.010916055137,88.2442399781969,71.1003177623701,95.6740912626146
"Salvin's mollymawk","breeding-probability",85.7435318203936,86.000909497785,79.3705026868322,90.6991278254198
"Antipodean wandering albatross","breeding-probability",48.7967782277053,48.6540078316205,25.7426094802678,72.4162360525463
"Gibson's wandering albatross","breeding-probability",53.0844411870241,52.9664707463062,39.6856363658823,67.2343167902129
"Northern royal albatross","breeding-success",43.2796612693856,43.1684373607331,20.5000295995841,66.9300817900258
"Southern royal albatross","breeding-success",56.1172026133519,56.5900314178505,26.8410930096894,82.4165931755866
"Salvin's mollymawk","breeding-success",46.2712368370538,46.2222573232239,35.0172324237545,57.7528760622589
"Chatham Island mollymawk","breeding-success",47.3704924376221,47.4188730902757,30.4945017739817,63.544708666434
"Southern Buller's mollymawk","breeding-success",71.6122734716832,72.2939469011018,55.3615098757306,84.2267371022472
"Grey-headed mollymawk","breeding-success",43.0116004392781,42.8925671287018,29.1835768891235,57.3664862602453
"New Zealand white-capped mollymawk","breeding-success",60.9116358790172,61.1958213961323,47.588298040647,72.7830007815962
"Antipodean wandering albatross","breeding-success",62.8540854656512,63.1529690478471,47.5045218057561,76.4424931864861
"Light-mantled sooty albatross","breeding-success",35.5432202810866,33.4969285246889,8.95072609877084,72.0479981633794
"Campbell Island mollymawk","breeding-success",59.5079765965037,59.8775064967077,41.7065087320388,75.2759864648433
"Northern Buller's mollymawk","breeding-success",47.5305801710848,47.4682934982357,28.3486329083659,67.4544632163097
"Gibson's wandering albatross","breeding-success",39.2718010906906,39.089808799626,26.5309230658432,53.0051169747588
"Chatham Island mollymawk","first-breeding-age",8.21044786541582,7.83129400808751,4.82970923820903,13.8526343706913
"New Zealand white-capped mollymawk","first-breeding-age",9.0797758938531,8.86881700946673,6.06951076001458,13.2660537161129
"Southern Buller's mollymawk","first-breeding-age",12.0133145627452,11.777582188484,7.69115094133715,17.6892295717562
"Northern royal albatross","first-breeding-age",9.44359595543927,9.0520062897746,5.3893154958057,15.6852033264754
"Campbell Island mollymawk","first-breeding-age",10.6008384515093,10.3009243033284,6.74418691409828,16.2284981277192
"Gibson's wandering albatross","first-breeding-age",12.7026561113984,12.3669974206512,7.68859541313429,19.8340232020673
"Southern royal albatross","first-breeding-age",13.0550643759978,12.6351413691733,7.57095298652924,21.2364544943193
"Salvin's mollymawk","first-breeding-age",9.02707568536287,8.81620292012368,5.95799293313043,13.1316595137848
"Grey-headed mollymawk","first-breeding-age",12.343986345327,12.0867990393042,7.56168363520133,18.7140695477925
"Northern Buller's mollymawk","first-breeding-age",10.504674467779,9.75330301108773,4.62101244037458,21.1191594017241
"Antipodean wandering albatross","first-breeding-age",12.9798299906782,12.5629463248162,7.45164337369895,21.0992893923536
"Light-mantled sooty albatross","first-breeding-age",11.8814085816478,11.3158602505858,5.96602819985117,21.4938594319244
"Gibson's wandering albatross","juvenile-survival",91.005273481089,91.4639857362782,84.3016400762097,95.3336071999534
"Salvin's mollymawk","juvenile-survival",52.2164325863634,52.2151746937581,5.59982641767898,96.4254587694102
"Southern Buller's mollymawk","juvenile-survival",52.1875481498735,53.4696844467562,1.21889850095085,99.2789936066307
"Grey-headed mollymawk","juvenile-survival",20.7906668401079,19.9041010279381,11.8908413561889,35.3651229635339
"Light-mantled sooty albatross","juvenile-survival",85.4321854367882,86.961156050185,66.7748965370547,95.636109339559
"Northern royal albatross","juvenile-survival",68.8597189662738,68.6509218380506,52.8254527034728,87.0124111543211
"Campbell Island mollymawk","juvenile-survival",34.4536148080636,34.2789584679483,21.5927634750749,47.9820123936277
"Antipodean wandering albatross","juvenile-survival",85.3536095793079,86.9550891442825,66.1011373772571,95.5825775521076
"New Zealand white-capped mollymawk","juvenile-survival",50.1902730720171,49.908636861681,3.28333981525351,97.0483379022166
"Northern Buller's mollymawk","juvenile-survival",87.0669997638846,88.2802375003795,71.0786859955586,95.7948030962262
"Chatham Island mollymawk","juvenile-survival",87.1054903491165,88.3381088384994,71.3394231603015,95.8457150648751
"Southern royal albatross","juvenile-survival",85.41742477279,86.9773971494995,66.2720854005341,95.7753351043069
